# instance,class,has_grip,has_spout,has_brand_name,has_nutrition_facts,has_bar_code
obj_000001,cylinder_like,0,0,0,0,0
obj_000002,cylinder_like,0,0,0,0,0
obj_000003,cylinder_like,0,0,0,0,0
obj_000004,cylinder_like,0,0,0,0,0
obj_000005,box_like,0,0,0,0,0
obj_000006,box_like,0,0,0,0,0
obj_000007,box_like,0,0,0,0,0
obj_000008,box_like,0,0,0,0,0
obj_000009,box_like,0,0,0,0,0
obj_000010,box_like,0,0,0,0,0
obj_000011,box_like,0,0,0,0,0
obj_000012,box_like,0,0,0,0,0
obj_000013,cylinder_like,0,0,0,0,0
obj_000014,cylinder_like,0,0,0,0,0
obj_000015,cylinder_like,0,0,0,0,0
obj_000016,cylinder_like,0,0,0,0,0
obj_000017,cylinder_like,0,0,0,0,0
obj_000018,cylinder_like,0,0,0,0,0
obj_000019,box_like,0,0,0,0,0
obj_000020,box_like,0,0,0,0,0
obj_000021,box_like,0,0,0,0,0
obj_000022,box_like,0,0,0,0,0
obj_000023,box_like,0,0,0,0,0
obj_000024,cylinder_like,0,0,0,0,0
obj_000025,box_like,0,0,0,0,0
obj_000026,box_like,0,0,0,0,0
obj_000027,box_like,0,0,0,0,0
obj_000028,box_like,0,0,0,0,0
obj_000029,box_like,0,0,0,0,0
obj_000030,box_like,0,0,0,0,0
